Superficie (x,y)ini - (x,y)fin en metros TUNEL-CIRCULAR 300
150	N_topo segmentos :: T^0 + T^d = 0
0    	N_cont segmentos :: T^d = T^0; u^d = u^0
0    	N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1  1   <- escala:x escala:y
0  0   <- offset:x offset:y
1.0   <- [negativo invierte normal]
-0.99211 0.12533 -0.99452 0.10453 F
-0.99452 0.10453 -0.99649 0.083678 F
-0.99649 0.083678 -0.99803 0.062791 F
-0.99803 0.062791 -0.99912 0.041876 F
-0.99912 0.041876 -0.99978 0.005 F
-0.99978 0.005 -1.10000 0.00000 F




Superficie (x,y)ini - (x,y)fin en metros TUNEL-CIRCULAR 230 SUAVE
230	N_topo segmentos :: T^0 + T^d = 0
0    	N_cont segmentos :: T^d = T^0; u^d = u^0
0    	N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1  1   <- escala:x escala:y
0  0   <- offset:x offset:y
1.0   <- [negativo invierte normal]
1.05	0.0000000000000000	0.999906715964522	0.005 T
0.999906715964522	0.005	0.999626881261911	0.0273147992594859 F
0.999626881261911	0.0273147992594859	0.999160548100387	0.0409658286836143 F
0.999160548100387	0.0409658286836143	0.998507803482828	0.0546092151921100 F
0.998507803482828	0.0546092151921100	0.997668769190539	0.0682424133646710 F
0.997668769190539	0.0682424133646710	0.996643601760530	0.0818628796818131 F
0.996643601760530	0.0818628796818131	0.995432492456309	0.0954680729994101 F
0.995432492456309	0.0954680729994101	0.994035667232204	0.109055455022790 F
0.994035667232204	0.109055455022790	0.992453386691202	0.122622490780299 F
0.992453386691202	0.122622490780299	0.990685946036331	0.136166649096247 F
0.990685946036331	0.136166649096247	0.988733675015585	0.149685403063144 F
0.988733675015585	0.149685403063144	0.986596937860402	0.163176230513142 F
0.986596937860402	0.163176230513142	0.984276133217712	0.176636614488587 F
0.984276133217712	0.176636614488587	0.981771694075559	0.190064043711607 F
